,rf,delta,rd,h,cf
S1,0.7555479658759705,-0.8376083226483425,-0.8438294266115448,-0.5085250195925299,-0.02897622831931806
S2,0.6897731153700148,-0.7832591014045078,-0.8342964954402591,-0.6633856684116946,-0.04816412188116876
S4,0.6792438734830261,-0.8029466727902355,-0.8509584734442586,-0.6330838499346376,-0.05261566703985573
S6,0.5056697235725398,-0.48066034244816264,-0.8598726697884342,-0.8367643800381155,-0.11863791690143083
S7,0.7368773728338984,-0.8106511964383194,-0.8373557280497451,-0.4931864615925287,-0.0038550548557201624
S8,0.7052885593706878,-0.7453622226573081,-0.8676076292828396,-0.7123993620300714,-0.04464673090002176
S9,0.5798931240764158,-0.6951802328934023,-0.8427602501058101,-0.7438964071777291,0.012333382827345267
