Scenario,Name,Dc_mean,Dc_std,Dc_ci95,Tc_mean,Tc_std,Tc_ci95,Nc_mean,Nc_std,Nc_ci95,fnc,fnc_ci95,hazard_frac
S1,Big Brother is Watching,0.622645,0.07784188445175258,0.010788334773810089,205.84,124.06753967093891,17.19488373078457,9.755,1.9274270414207644,0.2671277593212656,0.0,0.0,0.20194771911840081
S2,Wild West,0.6136849999999999,0.09367163805015903,0.012982226692143379,383.215,148.49181383160487,20.579915428159563,5.84,1.3690872872099866,0.18974581734520526,0.0,0.0,0.09674657534246575
S3,Golden Age,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
S4,Living with the Land,0.38099000000000005,0.024875085929499823,0.00344751102089609,240.625,17.212913030629068,2.385588035474692,6.6,0.6164414002968976,0.0854344192933972,0.0,0.0,0.0
S5,Transhumanism,0.99065,0.015226867701533376,0.002110336195964995,810.59,299.29646155609663,41.48037328008513,0.45,0.6763874629234342,0.09374251970157406,0.635,0.06672281618756809,1.0
S6,Sword of Damocles,0.7853749999999999,0.06976348883907685,0.00966872626331928,169.48,156.7922498084647,21.730297163103867,4.46,1.3705473359209452,0.18994816977270407,0.0,0.0,0.9248878923766816
S7,Restoration,0.572245,0.05457439853081296,0.007563625746941739,223.32,78.41713843287066,10.868060908036906,7.47,1.0339729203417274,0.14330133565323108,0.0,0.0,0.08701472556894244
S8,Ouroboros,0.8748650000000001,0.02563467914759225,0.0035527852699255577,623.48,42.51622749021837,5.89244850268545,1.935,0.24652586071242102,0.03416674113813022,0.0,0.0,0.0
S9,Deus Ex Machina,0.90987,0.026489490368823643,0.0036712560609143035,689.24,44.61751225696027,6.183671713407819,1.52,0.49959983987187184,0.06924100519201032,0.0,0.0,0.0
S10,Out of Eden,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
