Scenario,Dc_1k_sim,Dc_10k_sim,Dc_inf_analytic
S1,0.6309533333333334,0.5553786666666667,0.5372013440848602
S2,0.61966,0.41950133333333334,0.39443496249903787
S4,0.38241333333333327,0.21549133333333334,0.1935483870967742
S6,0.7949766666666667,0.776081,0.7757173110081781
S7,0.57848,0.47887133333333337,0.46397971134208726
S8,0.8718700000000001,0.7665866666666666,0.7547169811320755
S9,0.9125433333333335,0.7857563333333334,0.7758620689655173
