,rf,delta,rd,h,cf
S1,-0.07081854779002072,-0.9226461167530056,0.044543962499476474,-0.8442746746391118,0.026589788274553265
S2,0.04125038444002414,-0.7462049906985398,0.08232285071398471,-0.8890327092615818,-0.002802523288855154
S4,-0.0560904423631773,-0.832245294521706,-0.05323097699652297,-0.8589921822130014,0.0339084431793978
S6,-0.024258370240495007,-0.2251632744265193,-0.07057835177524203,-0.9352262037294815,-0.06896358225910452
S7,-0.09963290774295222,-0.9127217562159861,0.015622343191329378,-0.8286719071347439,-0.036616161912494546
S8,0.025987481732600255,-0.7073391251325762,-0.01891975817109587,-0.8915576625323728,-0.02085462517134301
S9,-0.01793354181125681,-0.6283079386870153,0.03053416016441825,-0.9046960677128122,-0.003035177080822811
