Horizon,Scenario,Dc,Dc_std,Nc_per_kyr,fnc
1000,S1,0.6309533333333334,0.0807503838312171,9.68,0.0
1000,S2,0.61966,0.08926371640631298,5.78,0.0
1000,S3,1.0,0.0,0.0,1.0
1000,S4,0.38241333333333327,0.027127154087535407,6.53,0.0
1000,S5,0.9888766666666667,0.015887147495870863,0.56,0.55
1000,S6,0.7949766666666667,0.07904468855583459,4.233333333333333,0.0033333333333333335
1000,S7,0.57848,0.054620779928521705,7.246666666666667,0.0
1000,S8,0.8718700000000001,0.025598563110716472,1.96,0.0
1000,S9,0.9125433333333335,0.026484614191807462,1.4333333333333333,0.0
1000,S10,1.0,0.0,0.0,1.0
3000,S1,0.5725222222222222,0.06412676585299956,10.840000000000002,0.0
3000,S2,0.46974111111111116,0.05002920642046732,7.7188888888888885,0.0
3000,S3,1.0,0.0,0.0,1.0
3000,S4,0.25599222222222223,0.020846127952626692,7.548888888888889,0.0
3000,S5,0.9893866666666667,0.010900939816772176,0.5066666666666667,0.21333333333333335
3000,S6,0.7802899999999999,0.05151601667514749,4.405555555555556,0.0
3000,S7,0.5056677777777778,0.046808122896948155,8.442222222222222,0.0
3000,S8,0.7954688888888889,0.02748780461348515,2.966666666666667,0.0
3000,S9,0.8167522222222222,0.024696642721803195,2.6422222222222222,0.0
3000,S10,1.0,0.0,0.0,1.0
10000,S1,0.5553786666666667,0.06584468349752233,11.419666666666668,0.0
10000,S2,0.41950133333333334,0.038829822708268395,8.394,0.0
10000,S3,1.0,0.0,0.0,1.0
10000,S4,0.21549133333333334,0.01990913839309867,7.949,0.0
10000,S5,0.9892236666666667,0.006772552932404606,0.492,0.006666666666666667
10000,S6,0.776081,0.03944098214209851,4.415666666666667,0.0
10000,S7,0.47887133333333337,0.044086416406366666,8.783333333333333,0.0
10000,S8,0.7665866666666666,0.029326794725794518,3.3280000000000003,0.0
10000,S9,0.7857563333333334,0.028095716041576322,3.033333333333333,0.0
10000,S10,1.0,0.0,0.0,1.0
